Code,Theme,Theme.Code,Practice,Practice.Code,Subpractice,Subpractice.Code,Subpractice.S,Subpractice.Suffix,Definition,Notes,Linked.Tab,Linked.Col,Depreciated
d13,Animals,Animals,Manure Management,MM,Manure Collection,MM-Co,Manure Collection,NA,"Techniques to collect manure, e.g, increased frequency of collection and removal from the kraal.",,Animals.Out,A.Level.Name,FALSE
d14,Animals,Animals,Manure Management,MM,Manure Storage,MM-St,Manure Storage,NA,"Manure storage techniques such as heaps, pits or dry lots.",,Animals.Out,A.Level.Name,FALSE
d15,Animals,Animals,Manure Management,MM,Manure Treatment,MM-Tr,Manure Treat,NA,Techniques for treatment of manure.,,Animals.Out,A.Level.Name,FALSE
d16,Animals,Animals,Pasture Management,PM,Rotational Grazing,PM+RG,Grazing Rotation,NA,The movement of animals between different paddocks at intervals.,,Animals.Out,A.Level.Name,FALSE
d11,Animals,Animals,Pasture Management,PM,Improved Pasture (N fixing),PM+IP+N,Pasture Impr (Nfix),Nfix,The planting of pastures with leguminous forages.,,Animals.Out,A.Level.Name,FALSE
d12,Animals,Animals,Pasture Management,PM,Improved Pasture (Non N fixing),PM+IP-N,Pasture Impr (nonNfix),nonNfix,The planting of pastures with non-leguminous forages.,,Animals.Out,A.Level.Name,FALSE
d19,Animals,Animals,Pasture Management,PM,Controlled Grazing,PM+CG,Grazing Controlled,NA,"The restriction of animal movement within pastures. Controlled grazing is known by many names, such as rotational grazing, rotational stocking, intensive grazing and strip grazing. Typically a large pasture is subdivided into several smaller pastures (paddocks) by cross fencing and animals stocked in one of the paddocks. When the forage has been removed, cattle are rotated to the next paddock.",,Animals.Out,A.Level.Name,FALSE
d20,Animals,Animals,Pasture Management,PM,Cut & Carry,PM+CC,Grazing Cut & Carry,NA,"A system where animals are confined and feed is brought to them, also known as zero grazing.",,Animals.Out,A.Level.Name,FALSE
d1,Animals,Animals,Aquasilviculture,AqS,Aquasilviculture,AqS,Aquasilviculture,NA,"An aquaculture practice in combination with a sylviculture practice in close spatial proximity. The classic example of this practice is fish or crustacean farming in mangroves, to conserve or restore mangrove trees and produce food.",,Animals.Out,A.Level.Name,FALSE
h60,Animals,Animals,Feed Addition; Feed Substitution,,Basal or Conventional Diet,,Diet Control,,A diet fed to animals without additional of anything.,A control for addition (supplementation) of feeds.,,,FALSE
h61,Animals,Animals,Feed Addition; Feed Substitution,,Conventional Supplement Use,,Diet Control,,Supplement given to animals by the farmer or deemed control by author and is,A control for addition (supplementation) or substitution of feeds.,,,FALSE
h10.3,Animals,Animals,Manure Management,,Conventional Manure Handling,,Manure Hand Conv,,Conventional Manure handling (farmer practice).,,,,FALSE
h11,Animals,Animals,Pasture Management,,Conventional Pasture Management,,Pasture Man Conv,,Conventional pasture management. This could be the traditional or farmer practice or a practice the authors state as an unimproved control practice.,,,,FALSE
h55.2,Animals,Animals,Genetic Improvement,,Unspecified,,Unspecified,,The breed breed practice is not specified as being improved or unimproved,,,,FALSE
h55.1,Animals,Animals,Genetic Improvement,,Unimproved Breed,,Breed Unimpr,,A local or otherwise unimproved animal breed.,A control for improved breeds/hybrid and cross breeds.,,,FALSE
