Code,Pillar,Pillar.Code,Subpillar,Subpillar.Code,Indicator,Indicator.Code,Subindicator,Subindicator.Short,Subindicator.Code,Definition,Notes,Example units,Original.Outcome,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names
150.2,Productivity,Productivity,Economics,Ec,Costs,Co,Total Cost per Asset,Total Cost/Asset,TCA,Total production costs per asset. For example USD per ha of farmland or USD per animal.,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha;USD/animal;USD,,N,n,N,Y,FALSE,
150.3,Productivity,Productivity,Economics,Ec,Costs,Co,Total Cost (Unconfirmed),Total Cost (Unc),TCunk,"Total costs are stated in a publication, but there is insufficient methodological detail about the included costs to confirm this. ",Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha,,N,n,N,Y,FALSE,
151,Productivity,Productivity,Economics,Ec,Costs,Co,Fixed Cost,Fixed Cost,FC,"Cost that are constant whatever the amount of goods produced, for example land rental costs.",Only use this outcome if it is unclear whether total cost is per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units.,USD per ?,,N,n,N,Y,FALSE,
151.1,Productivity,Productivity,Economics,Ec,Costs,Co,Fixed Cost per Unit Product,Fixed Cost/Unit,FCU,Fixed production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the fixed cost per asset product outcome.",USD/kg;USD/ton,,N,n,N,Y,FALSE,
151.2,Productivity,Productivity,Economics,Ec,Costs,Co,Fixed Cost per Asset,Fixed Cost/Asset,FCA,Fixed production costs per asset. For example USD per ha of farmland or USD per animal.,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the fixed cost per unit product outcome.,USD/ha;USD/animal;USD,,N,n,N,Y,FALSE,
152,Productivity,Productivity,Economics,Ec,Costs,Co,Variable Cost,Var Cost,VC,"Costs of inputs (labour, seeds, fertilizers, herbicides, tilling, etc.) that vary with the level of output. The total variable cost can include labour, but record the individual cost of labour using the ""Labour Cost"" subindicator.",Only use this outcome if it is unclear whether variable costs are per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced).Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD,,N,n,N,Y,FALSE,
152.2,Productivity,Productivity,Economics,Ec,Costs,Co,Variable Cost per Unit Product,Var Cost/Unit,VCU,Variable production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the variable cost per asset product outcome.",USD/kg;USD/ton,,N,n,N,Y,FALSE,
152.3,Productivity,Productivity,Economics,Ec,Costs,Co,Variable Cost per Asset,Var Cost/Asset,VCA,Variable production costs per asset. For example USD per ha of farmland or USD per animal.,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha;USD/animal;USD,,N,n,N,Y,FALSE,
152.1,Productivity,Productivity,Economics,Ec,Costs,Co,Labour Cost,Lab Cost,LC,Labour costs only.,Only use this outcome if it is unclear whether labour costs are per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the labour cost per unit product outcome.,USD,,N,n,N,Y,FALSE,
152.4,Productivity,Productivity,Economics,Ec,Costs,Co,Labour Cost per Unit Product,Lab Cost/Unit,LCU,Labour costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the labourcost per asset product outcome.",USD/kg;USD/ton,,N,n,N,Y,FALSE,
152.5,Productivity,Productivity,Economics,Ec,Costs,Co,Labour Cost per Asset,Lab Cost/Asset,LCA,Labour costs per asset. For example USD per ha of farmland or USD per animal.,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the labour cost per unit product outcome.,USD/ha;USD/animal;USD,,N,n,N,Y,FALSE,
125,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (GRTC),BC Ratio (GRTC),BCR-GRTC,The ratio of gross return to total costs (gross returns/total costs).,,Unitless ratio,,N,p,N,Y,FALSE,
125.1,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (GRVC),BC Ratio (GRVC),BCR-GRVC,The ratio of gross returns to variable costs (gross returns/variable costs).,,Unitless ratio,,N,p,N,Y,FALSE,
125.2,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (GMVC),BC Ratio (GMVC),BCR-GMVC,The ratio of gross margin to variable costs (gross margin/variable costs).,,Unitless ratio,,Y,p,N,Y,FALSE,
125.3,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (NRVC),BC Ratio (NRVC),BCR-NRVC,The ratio of net returns to variable costs (net returns/variable costs).,,Unitless ratio,,Y,p,N,Y,FALSE,
125.5,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (NRTC),BC Ratio (NRTC),BCR-NRTC,The ratio of net returns to variable costs (net returns/total costs).,,Unitless ratio,,Y,p,N,Y,FALSE,
125.6,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (GMTC),BC Ratio (GMTC),BCR-GMTC,The ratio of gross margin to variable costs (gross margin/total costs).,,,,N,p,N,Y,FALSE,
125.4,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Benefit Cost Ratio (Unspecified),BC Ratio (Unsp.),BCR,The ratio of benefits to costs when the exact formulation is not specified.,,Unitless ratio,,N,p,N,Y,FALSE,
126,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Cost Benefit Ratio (TCGR),CB Ratio (TCGR),CBR-TCGR,The ratio of total costs to gross returns (total costs/gross returns).,,Unitless ratio,,N,n,N,Y,FALSE,
126.1,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Cost Benefit Ratio (VCGR),CB Ratio (VCGR),CBR-VCGR,The ratio of variable costs to gross returns (variablecosts/gross returns).,,Unitless ratio,,N,n,N,Y,FALSE,
126.2,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Cost Benefit Ratio (TCNR),CB Ratio (TCNR),CBR-TCNR,The ratio of variable costs to net returns (variable costs/net returns).,,Unitless ratio,,Y,n,N,Y,FALSE,
130,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Net Present Value,NPV,NPV,"Net Present Value = the value in the present of a sum of money, in contrast to some future value it will have when it has been invested at compound interest.",Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD,,Y,p,N,Y,FALSE,
131,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Payback Period,Payback Period,PP,The period of time required to recoup the funds expended in investment.,,months; years,,N,n,N,Y,FALSE,
134,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Return on Investment,ROI,ROI,Return on investment is the gain or loss relative to the amount invested.,"This is usually presented as a ratio, please convert any % values to proportions.",Unitless ratio,,Y,p,N,N,FALSE,
137,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Internal Rate of Return,IRR,IRR,Internal Rate of Return is the interest rate at which the net present value of all cash flows equal zero.,,%,,Y,p,N,N,FALSE,
137.1,Productivity,Productivity,Economics,Ec,Economic Performance,EP,Marginal Rate of Return,MRR,MRR,"Marginal Rate of Return is the amount of revenue per additional item, divided by marginal costs.",,%,,Y,p,N,N,FALSE,
203,Resilience,Resilience,Physical,Ph,Biodiversity,Bd,Biodiversity,Biodiversity,Bd,"The species richness or diversity (such as the Shannon or Simpsons index) of a community of organisms within the experimental field. Whether the group of organsims is beneficial, neutral or detrimental to production should be unclear or mixed. One typically reported measure of biodiversity is microbial biomass.",,N,,N,p,N,Y,FALSE,
268,Resilience,Resilience,Physical,Ph,Biodiversity,Bd,Beneficial Organisms,Beneficial Org,BO,"Species that provide benefits to crop production (i.e., species provide postive regulating ecosystem services). These can include pollinators (e.g., bees), arbuscular mycorrhizal fungi (AMF) colonisation of crop roots, earthworms or microrganisms involved in nutrient cycling or decomposition. Measures can include their abundance, taxonomic or functional diversity (include details in the Units column).",,N; Taxonomic richness (S); Operational Taxonomic Units (OTUs) for microbes; etc,,N,p,N,Y,FALSE,
209,Resilience,Resilience,Physical,Ph,Pest & Pathogen,PP,Pest & Pathogen (Losses),Pest Path (Loss),PPL,Amount of stored crop lost or degraded due to pest/disease.,"This outcome is for post-harvest storage of products where pests or diseases are damaging the product. It is helpful to record date of storage and sampling date/days after storage for this outcome.
Note if absolute numbers are given then the amount of crop should be standardized between treatments.",% ; USD/ha; kg/ha,,N,n,N,N,FALSE,
209.1,Resilience,Resilience,Physical,Ph,Pest & Pathogen,PP,Pest & Pathogen (Product Weight),Pest Path (Prod),PPP,Amount of stored crop left after being stored for a period of time.,"This outcome is for post-harvest storage of products where pests or diseases are damaging the product. For this outcome it is helpful to record the date of storage and sampling date/days after this.
Note if absolute numbers are given then the amount of crop stored should be standardized between treatments.",kg; %,,N,p,N,N,FALSE,
212,Resilience,Resilience,Physical,Ph,Pest & Pathogen,PP,Pest & Pathogen (Numbers),Pest Path (Num),PPN,"The number or amount of pest or pathogen present in a stored product.
","This outcome is for post-harvest storage of products where pests or diseases are damaging the product. It is helpful to record date of storage and sampling date/days after storage for this outcome.
Do not use this outcome with change from baseline data, it should be the amount of pest or pathogen on the sampling date.",N; % grains infected,,N,n,N,Y,FALSE,
217,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Erosion,Erosion,Er,Quantity or extent of soil movement due to water or wind.,,Mg/ha; Mg/ha/year,,N,n,N,Y,FALSE,
218,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Runoff,Runoff,Ru,Quantity of water moving off site,,mm; %; mm/year,,N,n,N,N,FALSE,
223,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Organic Matter,SOM,SOM,Concentration or stock of organic matter in soil (SOM).,,%; g/kg; mg/g; g/g,,N,p,N,N,FALSE,
224,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Organic Carbon,SOC,SOC,Concentration or stock of organic carbon in soil (SOC).,Please record sampling depth(s) for this outcome,%; g/kg; mg/g; g/g,,N,p,N,N,FALSE,
224.1,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Organic Carbon (Change),SOC (Change),SOCh,Change in soil organic carbon (SOC) over time compared to a baseline condition at the beginning of the experiment.,"All treatments should have the same baseline conditions, if the baseline is more complex than this then contact Pete. Please record sampling depth(s) for this outcome",%; g/ka; mg/g,,Y,p,N,N,FALSE,
226,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Nitrogen,Soil N,SN,"Stock or concentration of soil nitrogen exact nature of the nitrogen is not clear (i.e. it is unknown if it is total, available, nitrate or ammonium) or is some other measure of nitrogen.",Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.1,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Total Nitrogen,Soil TN,STN,Stock or concentration of nitrogen in the soil reported as total nitrogen (TN).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.2,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Available Nitrogen,Soil AN,SAN,Stock or concentration of nitrogen in the soil reported as available nitrogen (NO3 + NH4).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.3,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil NO3,Soil NO3,SNO3,Stock or concentration of nitrogen in the soil reported as nitrate (NO3).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.4,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil NH4,Soil NH4,SNH4,Stock or concentration of nitrogen in the soil reported as ammonium (NH4).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
231,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Moisture,Soil Moisture,SM,Amount of water in the soil.,"Do not include: water holding capacity, available water capacity, osmotic potential.
Include pressure details in parenthesis after units if presented , e.g. % (0.3 bar). Do not include % change data as compared to a baseline.",%; mm; v/v; g/g,,N,p,N,N,FALSE,
221,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Infiltration Rate,Infiltration,In,The rate of water movement into the soil.,Units should be volume/time.,mm/hr; cm/hr,,N,p,N,Y,FALSE,
228,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Cation Exchange Capacity,CEC,CEC,Soil cation exchange capacity.,Do not include % change data as compared to a baseline. Do not confuse with ECEC (effective CEC) or base saturation.,cmol/kg; cmolc/kg; meq/100g,,N,p,N,Y,FALSE,
228.1,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Effective Cation Exchange Capacity,ECEC,ECEC,Soil effective cation exchange capacity.,Do not include % change data as compared to a baseline. Do not confuse with CEC or base saturation.,cmol/kg; cmolc/kg; meq/100g,,N,p,N,Y,FALSE,
270,Resilience,Resilience,Physical,Ph,Yield Stability,YS,Yield Stability,Yield Stability,YS,The variability in yields between seasons or between years.,"Antilog any logged outcomes, ln(yield stablity) is often reported.",slope (b); CV,,N,p,N,Y,FALSE,
236.1,Resilience,Resilience,Physical,Ph,Animal Survival,AS,Animal Survival,Animal Survival,AS,Animal offspring that survive to production.,Do not use for plant survival.,%; N,,N,p,N,N,FALSE,
236.2,Resilience,Resilience,Physical,Ph,Animal Survival,AS,Animal Mortality,Animal Mortality,AM,Animals that do not survive.,,%; N,,N,n,N,N,FALSE,
232.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Water Use,WU,WU,Water used per area to produce crops.,"Use the units to note any complexities, in particular if the water use is only referring to irrigation water being used in irrgation experiments.",m3/ha; mm; mm/ha,,N,n,N,(Y),FALSE,
232.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Water Use Efficiency,WUE,WUE,Product produced or economic yield per unit water (includes rainfall).,,kg/ha/mm; kg/mm; kg/m3,,N,p,N,Y,FALSE,
232.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated -Water Use (Rain & Irrigation),,,Total water used to produce crops from irrigation & rainfall.,,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
232.4,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated - Water Use (Irrigation),,,Water used to produce crops from irrigation only.,,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
232.5,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated - Water Use (Unspecified),,,"Water used to produce crops, irrigation is present but it is unclear if water use includes rainfall or not.",,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
233,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE Unspecificed),NUE (ARE Unsp.),NUE-A,"Apparent N recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero N control = (N.trt - N.cont)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.Input.trt - N.Input.Cont).",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
233.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE Product),NUE (ARE Prod),NUE-Ap,"Apparent N recovery efficiency in crop product component (e.g. grain). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont). 
",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,N,FALSE,
233.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE AGB),NUE (ARE AGB),NUE-Aag,"Apparent N recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont).",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,N,FALSE,
233.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (Isotopic Product),NUE (Iso Prod),NUE-Ip,"Nitrogen use efficiency of a crop product component (e.g., grain) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input. The product component of the crop is used (e.g., grain).","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.4,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (Isotopic AGB),NUE (Iso AGB),NUE-Iag,"Nitrogen use efficiency of aboveground biomass (the whole plant, grain + biomass) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.5,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (PNB Product),NUE (PNB Prod),NUE-Pp,"Partial nitrogen balance of a crop product component (e.g., grain). Formula = N.product/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.6,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (PNB AGB),NUE (PNB AGB),NUE-Pag,"Partial nitrogen balance for crop aboveground biomass (the whole plant, grain + biomass). Formula = N.AGB/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,N,p,N,Y,FALSE,
257.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Agronomic Efficiency,N AE (Prod),NAEp,"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
257.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Agronomic Efficiency (AGB),N AE (AGB),NAEag,"The yield change in aboveground biomass (the whole plant, grain + biomass) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
257.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Factor Productivity,N TFP,NTFP,Crop yield divided by amount of nitrogen applied (Yield/N).,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg N,,N,p,N,Y,FALSE,
238,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen (Apparent Efficiency Animals Feed),Nitrogen (AE Animals),NAEan,Animal Products Only. Integration of N into production. Formula = N.retained/N.supplied.,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,Nitrogen (Apparent Efficiency)
234,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Use Efficiency (ARE Unspecified),PUE (ARE Unsp.),PUE-A,"Apparent P recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,N,p,Y,Y,FALSE,
